product_id,name,price
1,pretty,1829.79
2,too,595.96
3,response,1831.14
4,always,1597.36
5,worry,1746.4
6,turn,172.04
7,mind,358.19
8,firm,911.07
9,stock,1654.42
10,fact,1427.31
11,present,1028.03
12,edge,323.27
13,become,1328.46
14,skill,1222.88
15,especially,1583.24
16,large,263.42
17,material,647.36
18,plant,1693.32
19,fish,1288.06
20,company,1037.91
21,two,1600.3
22,television,1502.85
23,clear,397.79
24,thing,1668.7
25,realize,408.89
26,attack,1387.97
27,none,1743.48
28,enjoy,1449.66
29,matter,799.7
30,more,992.71
